date,selected_k,best_silhouette
2015-03-18,3,0.2043446985352235
2015-04-17,3,0.1995180231053903
2015-05-18,3,0.19073473420607553
2015-06-17,3,0.1867784013997758
2015-07-17,3,0.18312646292905754
2015-08-17,3,0.18251551105726185
2015-09-16,4,0.1613262435700684
2015-10-15,3,0.16476425548862805
2015-11-13,3,0.16700862408584355
2015-12-15,4,0.150843777716157
2016-01-15,3,0.16449970811265263
2016-02-17,3,0.2143666388430754
2016-03-17,3,0.20047710474537192
2016-04-18,3,0.20100967099076944
2016-05-17,3,0.1688884048746731
2016-06-16,3,0.18883215440848625
2016-07-18,3,0.19913022015281878
2016-08-16,3,0.17217035938561193
2016-09-15,4,0.15934635600912492
2016-10-14,4,0.15856880127229012
2016-11-14,4,0.15803878880710678
2016-12-14,3,0.16348772199087655
2017-01-17,3,0.1610600755550754
2017-02-15,3,0.16250877266659508
2017-03-17,4,0.16495572545497378
2017-04-18,4,0.16117198331825486
2017-05-17,4,0.1672294286715547
2017-06-16,3,0.1679817784222829
2017-07-18,4,0.16289575124745784
2017-08-16,4,0.1642386688320731
2017-09-15,4,0.16474744309914696
2017-10-16,4,0.16708082627620724
2017-11-14,4,0.16823039166693246
2017-12-14,4,0.17040812034085873
2018-01-17,3,0.1676942901910388
2018-02-15,4,0.16643989836595524
2018-03-19,4,0.1595323699237812
2018-04-18,4,0.16269942572464274
2018-05-17,4,0.16163118634960927
2018-06-18,3,0.25876833680026107
2018-07-18,4,0.161297925825675
2018-08-16,4,0.1605737056839829
2018-09-17,3,0.2575590299214107
2018-10-16,3,0.23539756485777524
2018-11-14,3,0.2807711003882147
2018-12-17,3,0.23120096593957518
2019-01-17,3,0.2795070755184194
2019-02-19,3,0.26590796796790506
2019-03-20,4,0.1678476932161638
2019-04-18,4,0.16455004810704738
2019-05-20,3,0.2972373241268355
2019-06-19,3,0.2693526929485397
2019-07-19,3,0.2793720513702686
2019-08-19,3,0.2785889349883877
2019-09-18,3,0.27281213532549986
2019-10-17,3,0.2897376152037263
2019-11-15,3,0.29661724745228313
2019-12-17,3,0.2968068385774268
2020-01-17,3,0.29585467422094097
2020-02-19,3,0.2862864097047312
2020-03-19,3,0.330244783945985
2020-04-20,4,0.32612280148015593
2020-05-19,4,0.32196561515552974
2020-06-18,4,0.3015380340355396
2020-07-20,4,0.3004121232384056
2020-08-18,4,0.29588086126653024
2020-09-17,4,0.2969234870596523
2020-10-16,4,0.2827663927101998
2020-11-16,4,0.2759984438304784
2020-12-16,4,0.27330435533225755
2021-01-19,3,0.26032024517876334
2021-02-18,4,0.2850651285753824
2021-03-19,4,0.27720751617884465
2021-04-20,4,0.282320460121586
2021-05-19,4,0.28379455072980986
2021-06-18,4,0.2805781193623425
2021-07-20,4,0.2856778641860965
2021-08-18,4,0.28464008066004787
2021-09-17,4,0.2854445816447237
2021-10-18,4,0.27673437118550154
2021-11-16,4,0.285708025559354
2021-12-16,4,0.29024649290371995
2022-01-18,4,0.27972370223830134
2022-02-16,4,0.2806532492344319
2022-03-18,4,0.27063738969374285
2022-04-19,4,0.2665281957100643
2022-05-18,4,0.27796345543424156
2022-06-17,4,0.27953465284250084
2022-07-20,4,0.2670493488596574
2022-08-18,4,0.26520716490469437
2022-09-19,4,0.27182568482575054
2022-10-18,4,0.2776754017046519
2022-11-16,4,0.2757126816540983
2022-12-16,4,0.2743822631252986
2023-01-19,3,0.2530701510681113
2023-02-17,3,0.2569478430249492
2023-03-21,3,0.24998378616691663
2023-04-20,3,0.16784944664406745
2023-05-19,3,0.16937608603345708
2023-06-21,3,0.17243595614258447
2023-07-21,3,0.17634920216116295
2023-08-21,3,0.17793152679554736
2023-09-20,3,0.17436592006155435
2023-10-19,3,0.1756185959067591
2023-11-17,3,0.15449966970569387
2023-12-19,3,0.17313443265399137
2024-01-22,3,0.1759637047348375
2024-02-21,3,0.1757648273303298
2024-03-21,3,0.17017335827264368
2024-04-22,3,0.18785375864721762
2024-05-21,3,0.18130205462348475
2024-06-21,4,0.16711476571541134
2024-07-23,3,0.1891286774296827
2024-08-21,3,0.1863342994617397
2024-09-20,3,0.1785441772157359
2024-10-21,3,0.1838030170963356
2024-11-19,3,0.1624882023331954
2024-12-19,4,0.16688937093980585
2025-01-23,4,0.16314002810463368
2025-02-24,5,0.1605090978070739
2025-03-25,5,0.1670822931895622
2025-04-24,3,0.1801244391862615
2025-05-23,4,0.1601060110167142
2025-06-25,4,0.16187396857854902
2025-07-25,5,0.17276644424040308
2025-08-25,5,0.17159319705141407
2025-09-24,5,0.166891253839296
2025-10-23,5,0.1670996704172032
2025-11-21,3,0.2771546480537192
2025-12-23,3,0.2856230717394819
2026-01-26,3,0.28990690565037963
2026-02-25,3,0.28277754246726267
2026-03-26,3,0.27677672954845217
