Asset,Strategy,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown
SPY,KMeans Regime,0.08915285226115044,0.10879144173308812,0.8194840590483254,-0.20407825051515005
SPY,HMM Regime,0.14381723661055346,0.10966571037810018,1.311414808828642,-0.12141459077512862
SPY,Momentum,0.10633534276135115,0.10509370038728306,1.0118146222798559,-0.13336336160050344
SPY,Trend Following,0.0703922075988046,0.10562899321322944,0.666409907521379,-0.20259763034570732
SPY,Buy and Hold,0.1461865800619826,0.17767137852535406,0.822791950371013,-0.3371724519522502
QQQ,KMeans Regime,0.1020006407079106,0.13839111463361384,0.7370461678696216,-0.35661118437363726
QQQ,HMM Regime,0.14936166442549204,0.13693386148281186,1.0907577045451256,-0.20693959185231048
QQQ,Momentum,0.14927497781325738,0.13491989391060494,1.1063970885728966,-0.1984767922327627
QQQ,Trend Following,0.12138197234379433,0.13816663722813535,0.8785186842419358,-0.1887110708751607
QQQ,Buy and Hold,0.20264733045738814,0.22009676172354686,0.9207192730619266,-0.35118710793789554
IWM,KMeans Regime,0.0540331876004958,0.14587175068005193,0.37041570659564915,-0.2762513493619084
IWM,HMM Regime,0.08572023355692715,0.14825351954427443,0.5782003275229338,-0.20981176988688832
IWM,Momentum,0.045776535903182536,0.14852145167668368,0.3082149776103284,-0.4416724219305971
IWM,Trend Following,0.045055401595535116,0.14787034932479645,0.30469530775619635,-0.3629453104405096
IWM,Buy and Hold,0.11071524764717,0.22644134368316368,0.48893565921461135,-0.4113329051013439
